Timestamp,Fast_Vs_Home,money spent
4/3/2023 9:34:50,home cooked food,20.00
4/3/2023 9:36:53,home cooked food,40.00
4/3/2023 9:38:49,fast food,25.00
4/3/2023 9:43:25,home cooked food,12.00
4/3/2023 9:44:48,home cooked food,10.00
4/3/2023 9:45:14,home cooked food,25.00
4/3/2023 9:45:49,home cooked food,25.00
4/3/2023 9:46:21,home cooked food,100.00
4/3/2023 9:46:35,home cooked food,25.00
4/3/2023 9:46:54,home cooked food,30.00
4/3/2023 9:48:06,home cooked food,20.00
4/3/2023 9:48:09,home cooked food,25.00
4/3/2023 9:48:27,home cooked food,80.00
4/3/2023 9:48:53,home cooked food,80.00
4/3/2023 9:49:02,fast food,50.00
4/3/2023 9:49:03,fast food,25.00
4/3/2023 9:49:26,home cooked food,80.00
4/3/2023 9:50:00,home cooked food,20.00
4/3/2023 9:50:45,home cooked food,25.00
4/3/2023 9:50:48,home cooked food,100.00
4/3/2023 9:52:04,fast food,20.00
4/3/2023 9:54:21,home cooked food,60.00
4/3/2023 9:54:48,home cooked food,150.00
4/3/2023 9:54:55,home cooked food,17.00
4/3/2023 9:55:49,home cooked food,10.00
4/3/2023 9:55:52,home cooked food,10.00
4/3/2023 9:57:50,home cooked food,300.00
4/3/2023 9:58:42,home cooked food,40.00
4/3/2023 9:58:48,home cooked food,12.00
4/3/2023 9:59:34,fast food,20.00
4/3/2023 10:01:51,home cooked food,25.00
4/3/2023 10:03:31,home cooked food,50.00
4/3/2023 10:03:38,home cooked food,20.00
4/3/2023 10:04:09,fast food,30.00
4/3/2023 10:04:16,home cooked food,20.00
4/3/2023 10:04:19,home cooked food,50.00
4/3/2023 10:04:24,home cooked food,25.00
4/3/2023 10:05:21,home cooked food,40.00
4/3/2023 10:06:06,home cooked food,10.00
4/3/2023 10:06:11,home cooked food,20.00
4/3/2023 10:07:46,fast food,20.00
4/3/2023 10:07:54,home cooked food,15.00
4/3/2023 10:08:09,fast food,15.00
4/3/2023 10:08:19,home cooked food,30.00
4/3/2023 10:08:29,home cooked food,35.00
4/3/2023 10:10:07,home cooked food,35.00
4/3/2023 10:10:31,fast food,20.00
4/3/2023 10:10:44,home cooked food,25.00
4/3/2023 10:10:48,home cooked food,10.00
4/3/2023 10:11:02,home cooked food,200.00
4/3/2023 10:11:49,fast food,10.00
4/3/2023 10:12:59,home cooked food,12.00
4/3/2023 10:16:21,home cooked food,15.00
4/3/2023 10:17:29,home cooked food,5.00
4/3/2023 10:18:43,fast food,30.00
4/3/2023 10:20:47,home cooked food,25.00
4/3/2023 10:20:56,fast food,12.00
4/3/2023 10:21:08,home cooked food,15.00
4/3/2023 10:21:22,home cooked food,40.00
4/3/2023 10:21:31,fast food,12.00
4/3/2023 10:21:47,fast food,15.00
4/3/2023 10:22:19,fast food,10.00
4/3/2023 10:22:34,fast food,15.00
4/3/2023 10:22:39,fast food,20.00
4/3/2023 10:23:30,home cooked food,25.00
4/3/2023 10:23:38,home cooked food,30.00
4/3/2023 10:23:39,home cooked food,30.00
4/3/2023 10:23:47,home cooked food,40.00
4/3/2023 10:23:57,home cooked food,45.00
4/3/2023 10:24:45,home cooked food,15.00
4/3/2023 10:24:49,fast food,10.00
4/3/2023 10:25:05,home cooked food,35.00
4/3/2023 10:26:25,fast food,10.00
4/3/2023 10:26:34,home cooked food,25.00
4/3/2023 10:26:49,home cooked food,30.00
4/3/2023 10:26:57,home cooked food,25.00
4/3/2023 10:27:03,fast food,12.00
4/3/2023 10:28:09,home cooked food,25.00
4/3/2023 10:28:19,home cooked food,50.00
4/3/2023 10:28:27,home cooked food,100.00
4/3/2023 10:28:38,home cooked food,9.27
4/3/2023 10:30:52,home cooked food,15.00
4/3/2023 10:31:21,fast food,15.00
4/3/2023 10:34:44,home cooked food,30.00
4/3/2023 10:36:49,home cooked food,25.00
4/3/2023 10:44:26,fast food,15.00
4/3/2023 10:47:18,home cooked food,15.00
4/3/2023 10:48:21,home cooked food,20.00
4/3/2023 10:48:45,home cooked food,25.00
4/3/2023 10:51:07,home cooked food,15.00
4/3/2023 10:52:14,home cooked food,15.00
4/3/2023 10:52:42,home cooked food,20.00
4/3/2023 10:56:11,home cooked food,20.00
4/3/2023 10:56:19,fast food,12.00
4/3/2023 10:56:25,home cooked food,25.00
4/3/2023 10:56:35,home cooked food,45.00
4/3/2023 10:56:43,home cooked food,30.00
4/3/2023 10:56:50,home cooked food,25.00
4/3/2023 10:56:56,home cooked food,20.00
4/3/2023 10:57:13,home cooked food,25.00
4/3/2023 10:57:19,home cooked food,35.00
4/3/2023 10:57:27,fast food,12.00
4/3/2023 10:59:32,fast food,20.00
4/3/2023 10:59:38,home cooked food,75.00
4/3/2023 10:59:49,home cooked food,40.00
4/3/2023 11:00:01,home cooked food,50.00
4/3/2023 11:00:18,home cooked food,200.00
4/3/2023 11:00:26,fast food,10.00
4/3/2023 11:13:54,fast food,12.00
4/3/2023 11:17:51,home cooked food,20.00
4/3/2023 11:25:52,fast food,40.00
4/3/2023 11:46:53,home cooked food,40.00
4/3/2023 11:59:51,fast food,20.00
4/3/2023 12:06:05,home cooked food,20.00
4/3/2023 12:08:13,home cooked food,25.00
4/3/2023 12:09:11,home cooked food,15.00
4/3/2023 12:11:30,home cooked food,10.00
