Date,Day of the Week,Amount,Description,Category ,Method of Payment
1/21/23,Saturday,30.26,groceries,Food,Debit
1/21/23,Saturday,79.38, dinner(pupusas),Food,Debit
1/22/23,Sunday,40,gas,Travel,Cash
1/24,Tuesday,69.18,groceries,Food,Debit
1/25,Wednesday,10.99,apple music,Entertainment and Recreation,Debit
1/25,Wednesday,315,ski lift tickets (for tahoe trip),Travel,Debit
1/25,Wednesday,25,breakfast ,Food,Debit
1/25,Wednesday,35,pedicure,Entertainment and Recreation,Debit
1/25,Wednesday,10.54,Wendy's,Food,Debit
1/25,Wednesday,6.87,Curology,Entertainment and Recreation,Debit
1/25,Wednesday,10.98,Walgreens (facewash),Entertainment and Recreation,Debit
1/26,Thursday,35,gas,Travel,Cash
1/27/23,Friday,10.99,thank you cake,Food,Debit
1/27/23,Friday,25.5,donuts and coffee,Food,Debit
1/27/23,Friday,10,parking,Travel,Debit
1/27/23,Friday,16.11,in n out burger,Food,Debit
1/27/23,Friday,11.09,Raising Canes,Food,Debit
1/27/23,Friday,45.64,cvs,Entertainment and Recreation,Debit
1/27/23,Friday,55.15,gas,Travel,Debit
1/28/23,Saturday,175.14,vacay groceries,Food,Debit
1/29,Sunday,10,locker while skiing,Travel,Debit
1/29/23,Sunday,39,lunch ay ski lodge,Food,Debit
1/29/23,Sunday,30.26,gas,Travel,Debit
1/30/23,Monday,6.74,groceries,Food,Debit
1/30/23,Monday,57.37,amazon for pets,Entertainment and Recreation,Debit
